source,source_ingredient,raw material,fao_item,SPAM_super,included_source,notes
salmon,soybean meal,soybean,Soybeans,soyb,mapspam,
salmon,soy protein concentrate,soybean,Soybeans,soyb,mapspam,
salmon,wheat gluten,wheat,Wheat,whea,mapspam,
salmon,guar protein,guar,Pulses nes,opul,mapspam,Just assuming the guar protein is the same as pea protein here
salmon,sunflower ,sunflower,Sunflower seed,sunf,mapspam,
salmon,pea protein,peas,"Peas, dry",opul,mapspam,
salmon,corn gluten,maize,Maize,maiz,mapspam,
salmon,rapeseed and camelina oil,rapeseed,Rapeseed,rape,mapspam,
salmon,linseed oil,flax,Linseed,ooil,mapspam,
salmon,soybean oil,soybean,Soybeans,soyb,mapspam,
salmon,canola oil,rapeseed,Rapeseed,rape,mapspam,
salmon,coconut oil,coconuts,"Coconuts, in shell",cnut,mapspam,
salmon,wheat,wheat,Wheat,whea,mapspam,
salmon,faba beans,faba beans,"Broad beans, horse beans, dry",opul,mapspam,
salmon,pea flour,peas,"Peas, dry",opul,mapspam,
salmon,"fish meal, forage fish",fishmeal oil,fofm,NA,fofm,
salmon,"fish meal, cut offs",NA,fofm,NA,byproduct_other,
salmon,"fish oil, forage fish",fishmeal oil,fofm,NA,fofm,
salmon,"fish oil, cut offs",NA,fofm,NA,byproduct_other,
salmon,micro ingredients,NA,NA,NA,byproduct_other,
salmon,other,NA,NA,NA,byproduct_other,
